,feature,importance
204,loc_harrachov,0.0004648075801412553
442,loc_most,0.000462335885858458
465,loc_nupaky,0.00046135187258246113
254,loc_ivan,0.00045290928484109357
328,loc_kralupy,0.0004523000651409175
412,loc_marianske,0.0004428808368328694
434,loc_modrice,0.00044167763846635137
666,loc_tisnov,0.00043321551170847017
227,loc_horomerice,0.0004308437159457877
136,loc_cesky,0.0004284980631179741
786,loc_znojmo,0.0004253100174616299
217,loc_hodonin,0.00040605495093831815
127,loc_celadna,0.0004056258240181828
346,loc_kurim,0.00039540516619412377
587,loc_sadska,0.0003871769384790153
398,loc_lovosice,0.00037763142051250656
546,loc_prostejov,0.00037234894113075427
555,loc_rakovnik,0.000361340689687078
651,loc_svitavy,0.0003575303258341162
29,school,0.0003543355144788336
762,loc_zatec,0.0003526337662332699
138,loc_cheb,0.0003525898880834713
537,loc_prerov,0.0003492669307579136
406,loc_lutonina,0.0003462337296985315
748,loc_vyskov,0.0003461234276197924
423,loc_milovice,0.00034598445976367947
128,loc_celakovice,0.0003457560025466424
431,loc_mnichovo,0.0003405344483073395
317,loc_kosmonosy,0.0003392199034377177
484,loc_orlova,0.0003354833517621085
75,loc_bilovice,0.0003314502948029279
338,loc_kromeriz,0.00032840171384589963
153,loc_chrudim,0.0003263051999972367
272,loc_jicin,0.0003142921772172105
717,loc_veseli,0.0003140966926851107
679,loc_trutnov,0.0003139519553665318
169,loc_dnesice,0.0003127317547068184
348,loc_kyjov,0.0003106772805514305
257,loc_jablonec,0.00030781948135523245
645,loc_sumperk,0.00030328372571814004
408,loc_lysa,0.000300088544328427
381,loc_lipno,0.00029434960281179485
388,loc_litvinov,0.0002729349071266077
293,loc_karvina,0.0002656739562194616
461,loc_nove,0.00026267112663159797
240,loc_hranice,0.00025857706262123964
278,loc_jindrichuv,0.00025848745956665503
397,loc_louny,0.00025683420489156216
337,loc_krnov,0.000254033499237077
207,loc_havlickuv,0.00025217122062979426
301,loc_klasterec,0.0002483358619067941
682,loc_turnov,0.0002461112203208724
757,loc_zakupy,0.0002456617385251468
608,loc_sobeslav,0.0002395046139000092
678,loc_troubsko,0.00023040108715749184
270,loc_jesenik,0.00022861499089557943
414,loc_melnik,0.0002143454373007493
575,loc_roznov,0.00021397606421331915
49,type_5+1,0.0002139724790607576
115,loc_bruntal,0.00021167514380085448
73,loc_bilina,0.00020738432875956554
269,loc_jesenice,0.00020669239210474824
125,loc_caslav,0.0002036622072680389
749,loc_vysoke,0.000199847723134829
362,loc_lety,0.0001989659211939713
542,loc_pribram,0.00019819409365767784
157,loc_chyne,0.00019508506149995935
520,loc_pohorelice,0.00019462697181386334
58,loc_bakov,0.000194599966078175
50,type_5+kk,0.0001926621030491586
692,loc_unhost,0.00019265786774430235
347,loc_kutna,0.00018192966539684933
688,loc_uhersky,0.0001817300740837463
447,loc_napajedla,0.00018063423135673896
631,loc_strakonice,0.00017483031307370772
610,loc_sokolov,0.0001734210578321588
511,loc_plasy,0.00017301000318050564
769,loc_zdar,0.00017280607753850934
727,loc_vlasim,0.00017083881537791336
33,sports,0.0001707951072804083
460,loc_nova,0.00016974604853441547
277,loc_jince,0.00016972856386652317
96,loc_bozi,0.00016677280880744597
685,loc_tynec,0.00016665162366708784
562,loc_revnice,0.00016268711903940006
466,loc_nymburk,0.00016247757868406758
252,loc_hustopece,0.00016155905314502048
428,loc_mlade,0.00015779164777637739
604,loc_slavkov,0.0001556557715747407
433,loc_mochov,0.00015175835443008383
517,loc_podborany,0.00015051578225370177
567,loc_rohatec,0.00014901537943494463
218,loc_holasice,0.000148691996138886
470,loc_odolena,0.00014824387690562176
473,loc_okrouhlice,0.000147420831162622
303,loc_klecany,0.0001414758465407524
702,loc_valtice,0.00014115135009206128
233,loc_hostivice,0.00013736511571862917
179,loc_dolany,0.00013591031211580474
701,loc_valasske,0.0001351658006679702
250,loc_humpolec,0.0001336243305033318
327,loc_kralovice,0.00013307698894689902
236,loc_hovorcovice,0.00013209043329988744
302,loc_klatovy,0.00013132761077242893
449,loc_nejdek,0.00013039177695062072
577,loc_rudna,0.0001285089230030955
268,loc_jenec,0.0001279118082157682
117,loc_bucovice,0.00012774145553917272
275,loc_jilove,0.00012760954563659005
401,loc_luhacovice,0.00012709766843930665
329,loc_kraluv,0.00012692683011050407
598,loc_slany,0.00012690189091380715
458,loc_nizbor,0.0001267544944947519
239,loc_hradistko,0.0001252905291397256
249,loc_hulin,0.00012483336432877922
676,loc_trinec,0.00012174808732787957
437,loc_moravany,0.00012173001533581635
594,loc_sezemice,0.00012008591782754084
178,loc_doksy,0.00011922824565922154
35,tavern,0.00011907753649079043
194,loc_frantiskovy,0.00011849928634606098
626,loc_sternberk,0.00011781016534203863
62,loc_bechyne,0.00011699016391888392
745,loc_vsenory,0.00011631254144826381
569,loc_rokytnice,0.00011550758133267317
386,loc_litomysl,0.0001143885487065936
746,loc_vseruby,0.00011427066805465671
200,loc_habartov,0.00011267274922740799
453,loc_neratovice,0.0001120777746485446
582,loc_rychnov,0.00011064797189867317
376,loc_libusin,0.00011047102921066239
619,loc_stare,0.00010765766954450627
281,loc_jirkov,0.0001063479753365394
245,loc_hronov,0.00010494931343398665
419,loc_mikulov,0.00010273529509712135
90,loc_boranovice,9.9239287594242e-05
280,loc_jirice,9.870120536496916e-05
713,loc_velka,9.801259227516688e-05
659,loc_tehovec,9.777879147545202e-05
241,loc_hrdlorezy,9.689036360884762e-05
576,loc_roztoky,9.606990230008475e-05
89,loc_bor,9.51232149700198e-05
255,loc_ivancice,9.45598585525163e-05
438,loc_moravska,9.455353592928665e-05
432,loc_mnisek,9.37469690961852e-05
595,loc_sezimovo,9.304688454021835e-05
195,loc_frenstat,9.263297402288709e-05
591,loc_semily,9.261331152820314e-05
225,loc_horka,9.144892136281919e-05
215,loc_hlucin,9.143760892021907e-05
572,loc_roudnice,9.129422423352198e-05
220,loc_holice,9.123985479002111e-05
56,loc_as,9.070642516502628e-05
184,loc_drinov,9.0350646835882e-05
211,loc_hlinsko,8.912054764498058e-05
761,loc_zastavka,8.759502740164416e-05
691,loc_ujezdecek,8.689951226984525e-05
758,loc_zamberk,8.59320596687707e-05
751,loc_vyzlovka,8.505788674389272e-05
683,loc_tursko,8.314309272115684e-05
316,loc_korycany,8.20774274895053e-05
242,loc_hrisice,8.142214418520816e-05
649,loc_svetla,8.129014040345316e-05
222,loc_holysov,7.933412845458796e-05
